class,first_author,experiment_short,experiment_id,timepoint,timepoint_hours,direction,ontology,term_id,term_name,expected_direction,signed_score,p_adjust,count,bg_count,fold_enrichment,is_significant,agrees_with_expected
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,-0.1006741676062088,0.7930961331022437,2,16,4.186440677966101,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,0.0,1.0,1,28,1.1961259079903148,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,0.0,1.0,0,22,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,-2.488857614398668,0.0032444597113597,5,17,9.850448654037889,True,True
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,0.0,1.0,0,31,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,0.0,1.0,2,61,1.098082800777994,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,kegg,kegg.pathway:ko00195,Photosynthesis,down,-1.5283379905402308,0.0296252490125748,7,51,4.596876038551014,True,True
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,0.0,1.0,0,15,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,0.0,1.0,1,25,1.3396610169491523,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,0.0,1.0,0,6,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,down,kegg,kegg.pathway:ko03010,Ribosome,down,0.0,1.0,2,54,1.2404268675455117,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,-0.0,1.0,0,16,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,-0.0,1.0,1,28,0.613664596273292,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0,1.0,0,22,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,-0.0,1.0,0,17,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,-0.0,1.0,4,31,2.2171107994389905,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,-0.0,1.0,0,61,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,kegg,kegg.pathway:ko00195,Photosynthesis,down,-0.0,1.0,3,51,1.0107416879795394,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,-0.0,1.0,0,15,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,-0.0,1.0,4,25,2.749217391304348,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,-0.0,1.0,0,6,0.0,False,
NC,Claudia Steglich,JB.01097-06,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,45 min,0.75,up,kegg,kegg.pathway:ko03010,Ribosome,down,-0.0,1.0,0,54,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,0.0,1.0,4,16,1.5753676470588236,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,0.0,1.0,6,28,1.3503151260504205,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,0.0,1.0,3,22,0.8592914438502675,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,0.0,1.0,1,17,0.370674740484429,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,0.0,1.0,6,30,1.260294117647059,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,0.0,1.0,3,61,0.3099083895853424,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,kegg,kegg.pathway:ko00195,Photosynthesis,down,0.0,1.0,7,50,0.8822058823529412,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,0.0,1.0,4,15,1.6803921568627451,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,0.0,1.0,2,25,0.5041176470588236,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,0.0,1.0,3,6,3.150735294117647,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,down,kegg,kegg.pathway:ko03010,Ribosome,down,0.0,1.0,1,54,0.116693899782135,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,-0.0,1.0,0,16,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,-0.0,1.0,0,28,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0,1.0,0,22,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,-0.0,1.0,0,17,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,-0.0,1.0,0,30,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,-0.0,1.0,1,61,1.1707650273224044,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,kegg,kegg.pathway:ko00195,Photosynthesis,down,-0.0,1.0,0,50,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,-0.0,1.0,0,15,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,-0.0,1.0,0,25,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,-0.0,1.0,0,6,0.0,False,
NC,Dikla Aharonovich,ismej.2016.70,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,20h,20.0,up,kegg,kegg.pathway:ko03010,Ribosome,down,-0.0,1.0,1,54,1.3225308641975309,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,down,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,0.0,1.0,0,6,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,down,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,0.0,1.0,0,6,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,down,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0632580184847631,0.8644541857254383,1,14,2.919642857142857,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,down,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,0.0,1.0,0,31,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,down,kegg,kegg.pathway:ko00195,Photosynthesis,down,0.0,1.0,0,11,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,down,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,0.0,1.0,0,7,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,down,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,0.0,1.0,0,5,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,down,kegg,kegg.pathway:ko03010,Ribosome,down,0.0,1.0,0,30,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,up,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,-0.0,1.0,1,6,7.785714285714285,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,up,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,-0.0,1.0,0,6,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,up,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0,1.0,0,14,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,up,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,-0.0,1.0,1,31,1.5069124423963134,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,up,kegg,kegg.pathway:ko00195,Photosynthesis,down,-0.0,1.0,0,11,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,up,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,-0.0,1.0,0,7,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,up,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,-0.0,1.0,0,5,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,darkness,,up,kegg,kegg.pathway:ko03010,Ribosome,down,-0.0,1.0,1,30,1.557142857142857,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,down,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,0.0,1.0,0,6,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,down,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,0.0,1.0,0,6,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,down,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0486969105367197,0.893929129646738,1,14,1.2976190476190477,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,down,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,0.0,1.0,0,31,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,down,kegg,kegg.pathway:ko00195,Photosynthesis,down,0.0,1.0,0,11,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,down,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,0.0,1.0,0,7,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,down,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,0.0,1.0,0,5,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,down,kegg,kegg.pathway:ko03010,Ribosome,down,0.0,1.0,0,30,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,-0.0,1.0,0,6,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,-0.0,1.0,0,6,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0,1.0,0,14,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,-0.0,1.0,1,31,1.3185483870967742,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,kegg,kegg.pathway:ko00195,Photosynthesis,down,-0.0,1.0,0,11,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,-0.0,1.0,0,7,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,-0.0,1.0,0,5,0.0,False,
NC,José Ángel Moreno-Cabezuelo,spectrum.03275-22,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,stationary,,up,kegg,kegg.pathway:ko03010,Ribosome,down,-0.0,1.0,1,30,1.3624999999999998,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,0.0,1.0,0,16,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,0.0,1.0,0,28,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,0.0,1.0,0,21,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,0.0,1.0,0,17,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,0.0,1.0,0,30,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,0.0,1.0,0,61,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko00195,Photosynthesis,down,0.0,1.0,0,51,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,0.0,1.0,0,15,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,0.0,1.0,0,25,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,0.0,1.0,0,6,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,down,kegg,kegg.pathway:ko03010,Ribosome,down,0.0,1.0,0,54,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",up,-0.0,1.0,1,16,1.958686440677966,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,4.06308488308635,8.64798876858366e-05,8,28,8.953995157384988,True,True
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0,1.0,0,21,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,-0.0,1.0,0,17,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,-0.0,1.0,0,30,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,cyanorak_role,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,-0.0,1.0,0,61,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko00195,Photosynthesis,down,-0.0,1.0,0,51,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",up,-0.0,1.0,1,15,2.089265536723164,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",ambiguous,-0.0,1.0,0,25,0.0,False,
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko00910,Nitrogen metabolism,up,4.799435032012628,1.586956300843136e-05,5,6,26.115819209039547,True,True
NC,Osnat Weissberg,2025.11.24.690089,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,day 11,264.0,up,kegg,kegg.pathway:ko03010,Ribosome,down,-0.0,1.0,0,54,0.0,False,
