experiment_id,organism_name,omics_type,background_factors,is_time_course,timepoint,timepoint_order,timepoint_hours,tp_growth_phase,tp_gene_count,tp_significant_up,tp_significant_down,tp_not_significant,experiment_name,publication_doi,treatment_type,coculture_partner,table_scope,table_scope_detail,gene_count,distinct_gene_count,clustering_analysis_count,cluster_types,growth_phases,time_point_growth_phases,publication_title,treatment,control,light_condition,light_intensity,medium,temperature,statistical_test,experimental_context,cluster_count,genes_by_status_significant_up,genes_by_status_significant_down,genes_by_status_not_significant
10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,Prochlorococcus MED4,RNASEQ,light,False,,,,,,,,,MED4 Coculture with Alteromonas HOT1A3 vs Axenic (RNASEQ),10.1101/2025.11.24.690089,coculture,Alteromonas macleodii HOT1A3,all_detected_genes,,1849,1849,0,,exponential,exponential,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,Coculture with Alteromonas HOT1A3,Axenic,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Log exponential day 11 in PRO99-lowN at 24C under continuous light,0,59,3,1787
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,Prochlorococcus MED4,PROTEOMICS,coculture | light,True,day 18,1.0,432.0,nutrient_limited,1424.0,35.0,14.0,1375.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,7120,1424,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,609,394,6117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,Prochlorococcus MED4,PROTEOMICS,coculture | light,True,day 31,2.0,744.0,nutrient_limited,1424.0,111.0,137.0,1176.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,7120,1424,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,609,394,6117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,Prochlorococcus MED4,PROTEOMICS,coculture | light,True,day 60,3.0,1440.0,nutrient_limited,1424.0,145.0,74.0,1205.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,7120,1424,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,609,394,6117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,Prochlorococcus MED4,PROTEOMICS,coculture | light,True,day 89,4.0,2136.0,nutrient_limited,1424.0,161.0,92.0,1171.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,7120,1424,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,609,394,6117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,Prochlorococcus MED4,PROTEOMICS,coculture | light,True,days 60+89,5.0,,nutrient_limited,1424.0,157.0,77.0,1190.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,7120,1424,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,609,394,6117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,Prochlorococcus MED4,PROTEOMICS,axenic | light,True,day 14,1.0,336.0,nutrient_limited,1424.0,40.0,95.0,1289.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,4272,1424,0,,death | nutrient_limited,nutrient_limited | death | death,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Axenic Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,599,556,3117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,Prochlorococcus MED4,PROTEOMICS,axenic | light,True,day 31,2.0,744.0,death,1424.0,264.0,257.0,903.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,4272,1424,0,,death | nutrient_limited,nutrient_limited | death | death,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Axenic Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,599,556,3117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,Prochlorococcus MED4,PROTEOMICS,axenic | light,True,day 89,3.0,2136.0,death,1424.0,295.0,204.0,925.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,4272,1424,0,,death | nutrient_limited,nutrient_limited | death | death,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Axenic Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,599,556,3117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,Prochlorococcus MED4,RNASEQ,coculture | light,True,day 18,1.0,432.0,nutrient_limited,1849.0,39.0,45.0,1765.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,9245,1849,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,553,834,7858
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,Prochlorococcus MED4,RNASEQ,coculture | light,True,day 31,2.0,744.0,nutrient_limited,1849.0,156.0,235.0,1458.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,9245,1849,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,553,834,7858
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,Prochlorococcus MED4,RNASEQ,coculture | light,True,day 60,3.0,1440.0,nutrient_limited,1849.0,134.0,226.0,1489.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,9245,1849,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,553,834,7858
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,Prochlorococcus MED4,RNASEQ,coculture | light,True,day 89,4.0,2136.0,nutrient_limited,1849.0,108.0,159.0,1582.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,9245,1849,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,553,834,7858
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,Prochlorococcus MED4,RNASEQ,coculture | light,True,days 60+89,5.0,,nutrient_limited,1849.0,116.0,169.0,1564.0,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,9245,1849,0,,nutrient_limited,nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited | nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Prochlorococcus MED4 in coculture with Alteromonas HOT1A3 in PRO99-lowN at 24C under continuous light,0,553,834,7858
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,Prochlorococcus MED4,RNASEQ,axenic | light,False,,,,,,,,,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),10.1101/2025.11.24.690089,nitrogen,,all_detected_genes,,1849,1849,0,,nutrient_limited,nutrient_limited,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,continuous light,20 umol photons m-2 s-1,PRO99-lowN,24C,DESeq2,Axenic Prochlorococcus MED4 in PRO99-lowN at 24C under continuous light,0,405,472,972
