group_id,is_singleton,n_members_excl_candidate,has_expression,has_significant_expression,has_clusters,has_derived_metrics
cyanorak:CK_00000097,False,10,5.0,3.0,3.0,2.0
cyanorak:CK_00000188,False,12,8.0,6.0,3.0,2.0
cyanorak:CK_00000195,False,12,4.0,4.0,2.0,1.0
cyanorak:CK_00000248,False,12,6.0,4.0,3.0,0.0
cyanorak:CK_00000403,False,12,6.0,5.0,3.0,2.0
cyanorak:CK_00000467,False,12,5.0,3.0,2.0,1.0
cyanorak:CK_00000468,False,12,5.0,3.0,3.0,0.0
cyanorak:CK_00000550,False,12,4.0,4.0,2.0,1.0
cyanorak:CK_00000562,False,12,6.0,4.0,2.0,2.0
cyanorak:CK_00000603,False,12,5.0,3.0,2.0,0.0
cyanorak:CK_00000653,False,12,5.0,5.0,2.0,2.0
cyanorak:CK_00000702,False,12,6.0,4.0,3.0,2.0
cyanorak:CK_00000706,False,12,4.0,3.0,3.0,2.0
cyanorak:CK_00000713,False,11,4.0,3.0,2.0,1.0
cyanorak:CK_00000722,False,12,5.0,4.0,3.0,2.0
cyanorak:CK_00000801,False,12,4.0,4.0,2.0,0.0
cyanorak:CK_00000811,False,12,3.0,2.0,2.0,0.0
cyanorak:CK_00000864,False,12,6.0,3.0,2.0,0.0
cyanorak:CK_00000872,False,12,5.0,5.0,2.0,1.0
cyanorak:CK_00000921,False,12,4.0,4.0,3.0,0.0
cyanorak:CK_00000922,False,12,5.0,4.0,2.0,0.0
cyanorak:CK_00001096,False,12,4.0,3.0,3.0,2.0
cyanorak:CK_00001153,False,12,4.0,4.0,3.0,0.0
cyanorak:CK_00001155,False,12,5.0,4.0,2.0,1.0
cyanorak:CK_00001158,False,12,3.0,3.0,2.0,0.0
cyanorak:CK_00001269,False,11,4.0,2.0,2.0,0.0
cyanorak:CK_00001295,False,10,4.0,2.0,2.0,0.0
cyanorak:CK_00001308,False,10,6.0,4.0,1.0,0.0
cyanorak:CK_00001442,False,8,4.0,2.0,1.0,0.0
cyanorak:CK_00001506,False,12,4.0,4.0,3.0,0.0
cyanorak:CK_00001516,False,12,6.0,4.0,2.0,2.0
cyanorak:CK_00001718,False,9,3.0,2.0,1.0,0.0
cyanorak:CK_00001734,False,10,8.0,6.0,3.0,0.0
cyanorak:CK_00001751,False,10,3.0,3.0,2.0,1.0
cyanorak:CK_00001814,False,7,4.0,4.0,0.0,1.0
cyanorak:CK_00001920,False,8,5.0,5.0,3.0,0.0
cyanorak:CK_00002114,False,12,4.0,4.0,2.0,0.0
cyanorak:CK_00002269,False,5,1.0,0.0,0.0,0.0
cyanorak:CK_00002720,False,9,4.0,4.0,3.0,0.0
cyanorak:CK_00003363,False,4,2.0,2.0,1.0,1.0
cyanorak:CK_00003376,False,3,2.0,2.0,0.0,0.0
cyanorak:CK_00003393,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00003429,False,3,2.0,2.0,1.0,0.0
cyanorak:CK_00003432,False,3,2.0,2.0,2.0,0.0
cyanorak:CK_00003438,False,3,2.0,2.0,1.0,1.0
cyanorak:CK_00003439,False,3,2.0,2.0,0.0,0.0
cyanorak:CK_00003450,False,5,3.0,3.0,2.0,1.0
cyanorak:CK_00003462,False,3,2.0,2.0,0.0,0.0
cyanorak:CK_00003478,False,5,3.0,3.0,2.0,0.0
cyanorak:CK_00003496,False,3,2.0,2.0,1.0,0.0
cyanorak:CK_00003500,False,5,2.0,2.0,2.0,0.0
cyanorak:CK_00003538,False,1,1.0,1.0,0.0,0.0
cyanorak:CK_00003564,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00003572,False,3,2.0,2.0,1.0,0.0
cyanorak:CK_00003578,True,0,,,,
cyanorak:CK_00003588,False,1,0.0,0.0,0.0,0.0
cyanorak:CK_00003998,False,6,2.0,2.0,2.0,0.0
cyanorak:CK_00004040,False,6,3.0,2.0,2.0,0.0
cyanorak:CK_00004181,False,9,2.0,2.0,0.0,0.0
cyanorak:CK_00008111,False,12,3.0,2.0,2.0,0.0
cyanorak:CK_00009151,False,3,3.0,3.0,0.0,0.0
cyanorak:CK_00019843,False,12,6.0,6.0,3.0,0.0
cyanorak:CK_00033748,True,0,,,,
cyanorak:CK_00035937,False,17,5.0,5.0,3.0,0.0
cyanorak:CK_00036022,False,3,2.0,2.0,1.0,0.0
cyanorak:CK_00036065,False,6,2.0,2.0,2.0,0.0
cyanorak:CK_00036391,False,12,4.0,4.0,3.0,0.0
cyanorak:CK_00038443,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00038556,True,0,,,,
cyanorak:CK_00039114,False,3,1.0,1.0,0.0,0.0
cyanorak:CK_00039912,False,5,2.0,2.0,1.0,0.0
cyanorak:CK_00040038,False,3,1.0,1.0,0.0,0.0
cyanorak:CK_00041018,False,11,6.0,5.0,2.0,0.0
cyanorak:CK_00041492,False,8,1.0,1.0,1.0,0.0
cyanorak:CK_00042314,False,1,1.0,1.0,0.0,0.0
cyanorak:CK_00042687,False,1,0.0,0.0,0.0,0.0
cyanorak:CK_00042918,False,2,0.0,0.0,1.0,0.0
cyanorak:CK_00043018,False,12,3.0,3.0,2.0,1.0
cyanorak:CK_00043460,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00043603,False,7,5.0,4.0,2.0,1.0
cyanorak:CK_00043757,True,0,,,,
cyanorak:CK_00044011,False,6,3.0,2.0,1.0,0.0
cyanorak:CK_00044138,False,9,2.0,2.0,1.0,0.0
cyanorak:CK_00044166,False,12,6.0,4.0,2.0,2.0
cyanorak:CK_00044233,True,0,,,,
cyanorak:CK_00044628,False,13,6.0,6.0,3.0,0.0
cyanorak:CK_00045004,False,7,5.0,4.0,2.0,0.0
cyanorak:CK_00045754,False,13,4.0,3.0,2.0,0.0
cyanorak:CK_00045861,False,4,1.0,1.0,1.0,0.0
cyanorak:CK_00045976,False,10,5.0,5.0,2.0,0.0
cyanorak:CK_00047426,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00047516,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00047604,False,6,2.0,2.0,2.0,0.0
cyanorak:CK_00047606,True,0,,,,
cyanorak:CK_00047620,False,3,2.0,2.0,1.0,0.0
cyanorak:CK_00049169,False,6,3.0,3.0,2.0,0.0
cyanorak:CK_00049418,False,12,2.0,2.0,2.0,0.0
cyanorak:CK_00049623,False,5,3.0,3.0,2.0,0.0
cyanorak:CK_00050253,False,3,2.0,2.0,1.0,0.0
cyanorak:CK_00050304,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00051639,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00051693,False,11,3.0,2.0,1.0,0.0
cyanorak:CK_00053308,True,0,,,,
cyanorak:CK_00053319,False,6,2.0,2.0,2.0,0.0
cyanorak:CK_00053566,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00053879,False,2,1.0,1.0,1.0,0.0
cyanorak:CK_00054066,False,3,3.0,3.0,1.0,0.0
cyanorak:CK_00054394,False,3,2.0,2.0,1.0,0.0
cyanorak:CK_00055248,False,3,1.0,1.0,1.0,0.0
cyanorak:CK_00055271,False,12,5.0,5.0,3.0,1.0
cyanorak:CK_00056279,False,12,5.0,5.0,3.0,2.0
cyanorak:CK_00056292,False,4,2.0,2.0,1.0,0.0
cyanorak:CK_00056305,False,4,2.0,2.0,1.0,0.0
cyanorak:CK_00056826,True,0,,,,
eggnog:1FZYF@1117,False,17,8.0,5.0,4.0,2.0
eggnog:1G01Q@1117,False,17,10.0,8.0,4.0,2.0
eggnog:1G07U@1117,False,18,6.0,3.0,4.0,0.0
eggnog:1G0V9@1117,False,17,7.0,6.0,4.0,2.0
eggnog:1G0XA@1117,False,17,6.0,3.0,3.0,1.0
eggnog:1G1SE@1117,False,17,6.0,6.0,3.0,1.0
eggnog:1G4NY@1117,False,9,5.0,5.0,0.0,1.0
eggnog:1G6IT@1117,False,17,7.0,4.0,4.0,0.0
eggnog:1G6JR@1117,False,10,3.0,1.0,1.0,0.0
eggnog:1G6M7@1117,False,16,5.0,5.0,2.0,2.0
eggnog:1G72V@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1G7QT@1117,False,17,5.0,4.0,3.0,0.0
eggnog:1G7XS@1117,False,15,4.0,4.0,3.0,0.0
eggnog:1G80Z@1117,False,17,3.0,2.0,3.0,0.0
eggnog:1G8DD@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GAEB@1117,False,4,2.0,2.0,0.0,0.0
eggnog:1GBHG@1117,False,9,7.0,6.0,3.0,0.0
eggnog:1GC5B@1117,False,9,4.0,2.0,2.0,0.0
eggnog:1GCB9@1117,False,11,4.0,2.0,2.0,0.0
eggnog:1GDH0@1117,False,9,4.0,2.0,2.0,2.0
eggnog:1GDJ2@1117,False,9,4.0,3.0,2.0,2.0
eggnog:1GDN6@1117,False,9,5.0,5.0,3.0,2.0
eggnog:1GDZB@1117,False,13,4.0,3.0,3.0,2.0
eggnog:1GEBR@1117,False,6,2.0,1.0,1.0,0.0
eggnog:1GEGQ@1117,False,9,3.0,3.0,3.0,2.0
eggnog:1GENM@1117,False,4,3.0,2.0,1.0,0.0
eggnog:1GEQZ@1117,False,9,4.0,4.0,2.0,0.0
eggnog:1GET5@1117,False,7,2.0,2.0,2.0,0.0
eggnog:1GEXX@1117,False,8,4.0,4.0,2.0,0.0
eggnog:1GEZH@1117,False,1,1.0,1.0,0.0,0.0
eggnog:1GFHI@1117,False,5,2.0,2.0,1.0,0.0
eggnog:1GFNJ@1117,False,9,5.0,5.0,3.0,1.0
eggnog:1GFYX@1117,False,8,2.0,2.0,2.0,0.0
eggnog:1GG0B@1117,False,8,2.0,2.0,2.0,0.0
eggnog:1GG9B@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GGJQ@1117,False,6,2.0,2.0,1.0,0.0
eggnog:1GGNQ@1117,False,7,2.0,2.0,2.0,0.0
eggnog:1GGQC@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GH0J@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GHGN@1117,False,7,3.0,3.0,2.0,0.0
eggnog:1GHHA@1117,False,3,1.0,1.0,0.0,0.0
eggnog:1GHI0@1117,False,6,1.0,1.0,1.0,0.0
eggnog:1GHP5@1117,False,6,4.0,4.0,2.0,0.0
eggnog:1GHXG@1117,False,7,3.0,3.0,2.0,0.0
eggnog:1GHZN@1117,False,4,3.0,3.0,1.0,1.0
eggnog:1GI3K@1117,False,5,2.0,2.0,2.0,0.0
eggnog:1GI4I@1117,False,1,0.0,0.0,1.0,0.0
eggnog:1GI4M@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GI5E@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GI63@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GI6B@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GI71@1117,False,3,1.0,1.0,1.0,0.0
eggnog:1GI9G@1117,False,4,1.0,1.0,1.0,1.0
eggnog:1GIFH@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GIJK@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GIKA@1117,False,6,3.0,3.0,2.0,1.0
eggnog:1GIKC@1117,False,5,3.0,3.0,1.0,1.0
eggnog:1GIMP@1117,False,4,1.0,1.0,1.0,1.0
eggnog:1GIMQ@1117,False,6,3.0,3.0,2.0,0.0
eggnog:1GIMS@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GIPW@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GIRK@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GJ1N@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GJ4A@1117,False,6,3.0,3.0,1.0,0.0
eggnog:1GJAV@1117,False,6,3.0,2.0,1.0,0.0
eggnog:1GJBU@1117,False,1,0.0,0.0,0.0,0.0
eggnog:1GJBX@1117,False,10,4.0,4.0,3.0,0.0
eggnog:1GJCF@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GJNK@1117,True,0,,,,
eggnog:1GJTG@1117,False,6,2.0,2.0,2.0,0.0
eggnog:1GKKD@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GKWQ@1117,False,4,2.0,2.0,0.0,0.0
eggnog:1GM15@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GM41@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GM5K@1117,True,0,,,,
eggnog:1GMEW@1117,False,5,2.0,2.0,1.0,1.0
eggnog:1GMEY@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GMH4@1117,False,6,3.0,3.0,2.0,1.0
eggnog:1GMI5@1117,False,4,2.0,2.0,1.0,0.0
eggnog:1GMJ7@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GMNI@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GMNZ@1117,False,5,4.0,4.0,2.0,0.0
eggnog:1GMPA@1117,False,4,3.0,3.0,1.0,0.0
eggnog:1GMT7@1117,True,0,,,,
eggnog:1GMTU@1117,False,6,3.0,3.0,2.0,1.0
eggnog:1GMVI@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GN0K@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GN0R@1117,True,0,,,,
eggnog:1GN3S@1117,False,4,1.0,1.0,0.0,0.0
eggnog:1GN81@1117,False,8,3.0,3.0,3.0,2.0
eggnog:1GN8G@1117,False,5,2.0,2.0,1.0,1.0
