group_id,is_singleton,n_members_excl_candidate,has_expression,has_significant_expression,has_clusters,has_derived_metrics
eggnog:1GN9M@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GNCM@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GNDP@1117,True,0,,,,
eggnog:1GNHX@1117,False,4,1.0,0.0,0.0,0.0
eggnog:1GNIV@1117,False,9,4.0,4.0,3.0,0.0
eggnog:1GNKI@1117,False,9,4.0,4.0,3.0,0.0
eggnog:1GNR2@1117,False,3,2.0,2.0,0.0,0.0
eggnog:1GNUU@1117,False,7,3.0,3.0,3.0,1.0
eggnog:1GP0B@1117,False,5,2.0,2.0,2.0,0.0
eggnog:1GP63@1117,False,3,2.0,2.0,1.0,0.0
eggnog:1GPEE@1117,False,4,2.0,2.0,1.0,1.0
eggnog:1GPUC@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GPVQ@1117,False,4,2.0,2.0,0.0,0.0
eggnog:1GPVU@1117,False,4,1.0,1.0,1.0,0.0
eggnog:1GQ6J@1117,True,0,,,,
eggnog:1GQT5@1117,False,4,3.0,3.0,0.0,0.0
eggnog:1GRPV@1117,False,9,5.0,5.0,3.0,0.0
eggnog:1MKDD@1212,False,9,3.0,3.0,3.0,2.0
eggnog:1MKJ2@1212,False,9,6.0,5.0,3.0,2.0
eggnog:1MKJ3@1212,False,7,2.0,2.0,2.0,0.0
eggnog:1MKSF@1212,False,9,4.0,2.0,2.0,2.0
eggnog:1MKUN@1212,False,9,7.0,6.0,3.0,0.0
eggnog:1MKZX@1212,False,5,3.0,3.0,0.0,1.0
eggnog:1MM09@1212,False,9,4.0,3.0,3.0,0.0
eggnog:1MM0P@1212,False,9,4.0,4.0,3.0,2.0
eggnog:1MM5M@1212,False,7,3.0,3.0,2.0,0.0
eggnog:1MM8P@1212,False,9,4.0,4.0,2.0,1.0
eggnog:1MM9E@1212,False,6,3.0,3.0,2.0,1.0
eggnog:1MM9P@1212,False,4,3.0,3.0,1.0,1.0
eggnog:1MMA1@1212,False,9,4.0,3.0,2.0,1.0
eggnog:1MMBE@1212,False,9,3.0,3.0,3.0,2.0
eggnog:1MMBR@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MMCG@1212,False,4,1.0,1.0,1.0,1.0
eggnog:1MMCN@1212,False,6,3.0,3.0,2.0,0.0
eggnog:1MMCT@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMD3@1212,False,9,5.0,4.0,3.0,0.0
eggnog:1MMD6@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MMDK@1212,False,9,4.0,4.0,3.0,0.0
eggnog:1MME4@1212,False,8,3.0,3.0,3.0,2.0
eggnog:1MMEN@1212,False,6,4.0,4.0,2.0,0.0
eggnog:1MMET@1212,False,9,4.0,3.0,2.0,2.0
eggnog:1MMFC@1212,False,9,4.0,4.0,2.0,0.0
eggnog:1MMFN@1212,False,5,2.0,2.0,1.0,1.0
eggnog:1MMFT@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMGD@1212,False,9,4.0,2.0,2.0,0.0
eggnog:1MMH1@1212,False,9,5.0,5.0,3.0,2.0
eggnog:1MMHW@1212,False,4,1.0,1.0,1.0,1.0
eggnog:1MMI1@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMIW@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMJI@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMJU@1212,False,9,5.0,5.0,2.0,2.0
eggnog:1MMJY@1212,False,6,3.0,3.0,2.0,1.0
eggnog:1MMKB@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMMQ@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MMMU@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MMNF@1212,False,5,2.0,2.0,1.0,0.0
eggnog:1MMNG@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMNH@1212,False,9,5.0,5.0,3.0,0.0
eggnog:1MMNP@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMP9@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMPA@1212,False,5,1.0,1.0,2.0,0.0
eggnog:1MMPE@1212,False,4,3.0,3.0,1.0,1.0
eggnog:1MMRU@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MMSH@1212,False,5,2.0,2.0,1.0,1.0
eggnog:1MMT5@1212,False,6,2.0,2.0,1.0,0.0
eggnog:1MMU5@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MMU6@1212,False,9,3.0,3.0,3.0,2.0
eggnog:1MMUT@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MMV0@1212,False,6,3.0,3.0,1.0,0.0
eggnog:1MMV8@1212,False,6,2.0,1.0,1.0,0.0
eggnog:1MMVF@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MMW0@1212,False,5,4.0,4.0,2.0,0.0
eggnog:1MMW7@1212,False,5,2.0,1.0,1.0,0.0
eggnog:1MMWH@1212,False,1,0.0,0.0,0.0,0.0
eggnog:1MMWI@1212,False,10,4.0,4.0,3.0,0.0
eggnog:1MMWS@1212,False,4,3.0,3.0,1.0,0.0
eggnog:1MMWU@1212,False,9,5.0,5.0,3.0,1.0
eggnog:1MMX1@1212,False,3,2.0,2.0,0.0,0.0
eggnog:1MMY5@1212,False,9,3.0,2.0,2.0,0.0
eggnog:1MMYD@1212,False,7,3.0,3.0,3.0,1.0
eggnog:1MMYT@1212,False,4,2.0,2.0,1.0,1.0
eggnog:1MMYU@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MMZU@1212,False,1,1.0,1.0,1.0,0.0
eggnog:1MMZW@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MN0B@1212,False,5,2.0,2.0,2.0,0.0
eggnog:1MN0Q@1212,False,9,4.0,4.0,3.0,0.0
eggnog:1MN1E@1212,False,7,2.0,2.0,2.0,0.0
eggnog:1MN23@1212,False,4,2.0,2.0,0.0,0.0
eggnog:1MN2G@1212,False,3,2.0,2.0,1.0,0.0
eggnog:1MN2R@1212,False,6,2.0,2.0,2.0,0.0
eggnog:1MN44@1212,True,0,,,,
eggnog:1MN45@1212,False,1,0.0,0.0,1.0,0.0
eggnog:1MN48@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MN4M@1212,False,3,1.0,1.0,0.0,0.0
eggnog:1MN53@1212,False,6,3.0,3.0,2.0,1.0
eggnog:1MN62@1212,False,3,2.0,1.0,1.0,0.0
eggnog:1MN7R@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MN8P@1212,False,7,3.0,3.0,2.0,0.0
eggnog:1MNAK@1212,False,8,2.0,2.0,2.0,0.0
eggnog:1MNMG@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MNMT@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MNN4@1212,True,0,,,,
eggnog:1MNNG@1212,False,4,2.0,2.0,0.0,0.0
eggnog:1MNTF@1212,False,4,1.0,1.0,0.0,0.0
eggnog:1MNTG@1212,False,4,3.0,3.0,0.0,0.0
eggnog:1MNY7@1212,False,4,2.0,2.0,1.0,0.0
eggnog:1MNZR@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MP14@1212,True,0,,,,
eggnog:1MP2Q@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MP3T@1212,False,3,1.0,1.0,1.0,0.0
eggnog:1MP7G@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MP90@1212,True,0,,,,
eggnog:1MPCI@1212,True,0,,,,
eggnog:1MPCJ@1212,False,4,1.0,1.0,1.0,0.0
eggnog:1MPCX@1212,False,5,2.0,2.0,2.0,0.0
eggnog:1MPDE@1212,False,6,1.0,1.0,1.0,0.0
eggnog:1MPG4@1212,True,0,,,,
eggnog:2ZAA4@2,False,17,6.0,6.0,3.0,1.0
eggnog:2ZCEM@2,True,0,,,,
eggnog:2ZJRP@2,False,4,2.0,2.0,1.0,0.0
eggnog:2ZMGN@2,False,8,2.0,2.0,2.0,0.0
eggnog:2ZPQV@2,False,6,2.0,2.0,1.0,0.0
eggnog:2ZRC1@2,False,4,2.0,2.0,1.0,0.0
eggnog:2ZTKH@2,False,8,2.0,2.0,2.0,0.0
eggnog:2ZU5M@2,False,7,2.0,2.0,2.0,0.0
eggnog:302SK@2,False,5,3.0,3.0,1.0,1.0
eggnog:303K4@2,False,6,3.0,3.0,1.0,0.0
eggnog:306SP@2,False,3,1.0,1.0,0.0,0.0
eggnog:306T3@2,False,4,2.0,2.0,1.0,0.0
eggnog:307DP@2,False,4,1.0,1.0,1.0,1.0
eggnog:30847@2,False,4,2.0,2.0,1.0,0.0
eggnog:308PI@2,False,6,3.0,3.0,2.0,1.0
eggnog:308UM@2,False,4,1.0,1.0,1.0,0.0
eggnog:30921@2,False,4,1.0,1.0,1.0,0.0
eggnog:30HI9@2,False,6,3.0,3.0,2.0,1.0
eggnog:30M0H@2,False,10,4.0,4.0,3.0,0.0
eggnog:30M2G@2,False,4,1.0,1.0,1.0,0.0
eggnog:30P41@2,False,4,1.0,1.0,1.0,0.0
eggnog:30PF8@2,False,4,1.0,1.0,1.0,0.0
eggnog:30PUQ@2,False,4,3.0,3.0,1.0,1.0
eggnog:30Q5H@2,False,6,3.0,2.0,1.0,0.0
eggnog:30QED@2,False,4,2.0,2.0,1.0,0.0
eggnog:30R32@2,False,4,2.0,2.0,1.0,0.0
eggnog:30R7F@2,False,5,2.0,2.0,1.0,1.0
eggnog:30RA1@2,False,5,4.0,4.0,2.0,0.0
eggnog:30RAV@2,False,3,2.0,2.0,0.0,0.0
eggnog:30RD7@2,False,5,2.0,2.0,2.0,0.0
eggnog:30RFM@2,True,0,,,,
eggnog:30RIB@2,False,4,1.0,1.0,1.0,0.0
eggnog:30RS5@2,False,4,1.0,1.0,1.0,0.0
eggnog:30RSG@2,True,0,,,,
eggnog:30RW9@2,False,4,3.0,3.0,0.0,0.0
eggnog:30S2T@2,False,8,3.0,3.0,3.0,2.0
eggnog:30SBV@2,True,0,,,,
eggnog:30SR7@2,False,9,4.0,4.0,3.0,0.0
eggnog:30UX1@2,False,1,0.0,0.0,1.0,0.0
eggnog:30UXZ@2,False,4,1.0,1.0,1.0,0.0
eggnog:30V7B@2,False,6,2.0,2.0,2.0,0.0
eggnog:30VF6@2,False,4,2.0,2.0,1.0,0.0
eggnog:30VK9@2,False,4,1.0,1.0,1.0,0.0
eggnog:30VNU@2,False,6,1.0,1.0,1.0,0.0
eggnog:30VPU@2,False,4,2.0,2.0,0.0,0.0
eggnog:30VRR@2,False,3,1.0,1.0,1.0,0.0
eggnog:30VSC@2,True,0,,,,
eggnog:30XVJ@2,False,4,1.0,1.0,1.0,1.0
eggnog:314IR@2,False,4,2.0,2.0,1.0,0.0
eggnog:315TT@2,False,6,3.0,3.0,2.0,0.0
eggnog:318FJ@2,False,4,1.0,1.0,1.0,0.0
eggnog:319U8@2,False,17,7.0,4.0,4.0,0.0
eggnog:31TX9@2,False,5,2.0,2.0,2.0,0.0
eggnog:31W76@2,False,4,1.0,1.0,1.0,0.0
eggnog:31XIH@2,False,1,0.0,0.0,0.0,0.0
eggnog:320ZT@2,True,0,,,,
eggnog:3216C@2,False,7,3.0,3.0,2.0,0.0
eggnog:321CD@2,False,6,4.0,4.0,2.0,0.0
eggnog:321CZ@2,False,5,2.0,2.0,1.0,1.0
eggnog:321FM@2,False,6,3.0,3.0,2.0,1.0
eggnog:321IC@2,False,4,1.0,1.0,1.0,0.0
eggnog:321P4@2,False,4,1.0,1.0,1.0,0.0
eggnog:321QF@2,False,4,3.0,3.0,1.0,0.0
eggnog:321RE@2,False,7,3.0,3.0,3.0,1.0
eggnog:321U6@2,False,3,2.0,2.0,1.0,0.0
eggnog:321Z5@2,False,7,3.0,3.0,2.0,0.0
eggnog:322AA@2,False,4,1.0,1.0,0.0,0.0
eggnog:322VW@2,False,4,1.0,0.0,0.0,0.0
eggnog:3249D@2,False,4,2.0,2.0,1.0,1.0
eggnog:32CWF@2,False,4,2.0,2.0,1.0,0.0
eggnog:32GTB@2,False,4,1.0,1.0,1.0,0.0
eggnog:32GW3@2,False,4,1.0,1.0,1.0,0.0
eggnog:32H7Z@2,False,4,1.0,1.0,1.0,0.0
eggnog:32IJV@2,True,0,,,,
eggnog:32ITT@2,False,9,4.0,4.0,3.0,0.0
eggnog:32KSH@2,False,9,5.0,5.0,3.0,0.0
eggnog:32MY1@2,False,4,1.0,1.0,1.0,0.0
eggnog:32ND7@2,False,4,2.0,2.0,0.0,0.0
eggnog:32R62@2,False,16,5.0,5.0,2.0,2.0
eggnog:32RQE@2,False,17,5.0,4.0,3.0,0.0
eggnog:33B5X@2,False,4,1.0,1.0,1.0,0.0
eggnog:33D0R@2,False,8,2.0,2.0,1.0,0.0
eggnog:33FNN@2,False,4,2.0,2.0,0.0,0.0
eggnog:33RHF@2,False,11,4.0,2.0,2.0,0.0
eggnog:33S7Q@2,False,9,7.0,6.0,3.0,0.0
eggnog:33TBS@2,False,9,4.0,2.0,2.0,0.0
eggnog:33TX9@2,False,9,5.0,5.0,3.0,2.0
eggnog:33U77@2,False,9,4.0,2.0,2.0,2.0
eggnog:33W1P@2,False,13,4.0,3.0,3.0,2.0
eggnog:33Z3Z@2,False,9,3.0,3.0,3.0,2.0
eggnog:3404A@2,False,6,2.0,1.0,1.0,0.0
eggnog:3418C@2,False,4,3.0,2.0,1.0,0.0
eggnog:346I0@2,False,9,5.0,5.0,3.0,1.0
eggnog:34ADA@2,False,5,2.0,2.0,1.0,0.0
eggnog:34BFT@2,False,8,4.0,4.0,2.0,0.0
eggnog:COG0664@2,False,128,52.0,27.0,17.0,2.0
eggnog:COG0670@2,False,26,12.0,8.0,4.0,2.0
eggnog:COG2119@2,False,42,10.0,6.0,6.0,0.0
eggnog:COG2214@2,False,57,20.0,11.0,7.0,5.0
eggnog:COG2859@2,False,15,8.0,7.0,0.0,1.0
eggnog:COG3011@2,False,42,20.0,16.0,6.0,0.0
eggnog:COG3064@2,False,27,9.0,6.0,3.0,0.0
eggnog:COG3173@2,False,20,10.0,6.0,1.0,0.0
eggnog:COG3330@2,False,20,11.0,9.0,4.0,3.0
eggnog:COG3542@2,False,21,7.0,2.0,2.0,0.0
eggnog:COG4031@2,False,15,4.0,4.0,3.0,0.0
eggnog:COG4372@2,False,37,16.0,7.0,8.0,3.0
eggnog:COG4956@2,False,18,8.0,5.0,5.0,2.0
eggnog:COG5512@2,False,18,6.0,3.0,4.0,0.0
