group_id,organism_name,locus_tag,gene_name,product,gene_category
eggnog:1G0Z6@1117,Synechococcus PCC 7002,SYNPCC7002_A1827,nirA,ferredoxin--nitrite reductase,Energy production
eggnog:1G0Z6@1117,Synechococcus WH7803,SynWH7803_2492,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Synechococcus WH8102,SYNW2477,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Synechococcus elongatus PCC 7942,H6G84_08785,H6G84_RS08785,ferredoxin--nitrite reductase,Energy production
eggnog:1G0Z6@1117,Synechococcus elongatus UTEX 2973,M744_10440,nirA,ferredoxin--nitrite reductase,Energy production
eggnog:1G0Z6@1117,Synechococcus sp. BL107,BL107_06834,nirA,ferredoxin--nitrite reductase,Stress response and adaptation
eggnog:1G0Z6@1117,Thermosynechococcus vestitus BP-1,tlr1349,nirA,ferredoxin--nitrite reductase,Energy production
eggnog:1G0ZS@1117,Prochlorococcus MIT0801,EW15_2258,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Prochlorococcus MIT9303,P9303_29881,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Prochlorococcus MIT9313,PMT2240,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Prochlorococcus NATL1A,NATL1_21721,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Prochlorococcus NATL2A,PMN2A_1299,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Synechococcus CC9311,sync_2899,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G0ZS@1117,Synechococcus PCC 7002,SYNPCC7002_A0125,,formate/nitrite transporter family protein,Inorganic ion transport
eggnog:1G0ZS@1117,Synechococcus WH7803,SynWH7803_2493,focA,"nitrite transporter, FNT family",Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus AS9601,A9601_08921,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MED4,PMM0966,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT0801,EW15_1984,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT9301,P9301_08901,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT9303,P9303_29781,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT9312,PMT9312_0833,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus MIT9313,PMT2233,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus NATL1A,NATL1_19231,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus NATL2A,PMN2A_1052,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Prochlorococcus RSP50,BSR22_07415,ureD,urease accessory protein UreD,Post-translational modification
eggnog:1G10F@1117,Synechococcus CC9311,sync_2876,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Synechococcus PCC 7002,SYNPCC7002_A2123,ureD,urease accessory protein UreD,Post-translational modification
eggnog:1G10F@1117,Synechococcus WH8102,SYNW2446,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Synechococcus sp. BL107,BL107_06969,ureD,urease accessory protein UreD,Stress response and adaptation
eggnog:1G10F@1117,Thermosynechococcus vestitus BP-1,tlr0536,ureD,urease accessory protein UreD,Post-translational modification
eggnog:1G12D@1117,Prochlorococcus AS9601,A9601_08951,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MED4,PMM0963,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT0801,EW15_1987,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT9301,P9301_08931,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT9303,P9303_29811,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT9312,PMT9312_0836,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus MIT9313,PMT2236,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus NATL1A,NATL1_19261,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus NATL2A,PMN2A_1055,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Prochlorococcus RSP50,BSR22_07430,ureC,urease subunit alpha,Amino acid metabolism
eggnog:1G12D@1117,Synechococcus CC9311,sync_2879,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Synechococcus PCC 7002,SYNPCC7002_A0193,ureC,urease subunit alpha,Amino acid metabolism
eggnog:1G12D@1117,Synechococcus WH8102,SYNW2449,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Synechococcus sp. BL107,BL107_06954,ureC,urease alpha subunit,Stress response and adaptation
eggnog:1G12D@1117,Thermosynechococcus vestitus BP-1,tlr0005,ureC,urease subunit alpha,Amino acid metabolism
eggnog:1G19V@1117,Prochlorococcus AS9601,A9601_09091,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MED4,PMM0951,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT0801,EW15_0945,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT9301,P9301_09071,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT9303,P9303_15771,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT9312,PMT9312_0848,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus MIT9313,PMT0653,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus NATL1A,NATL1_09281,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus NATL2A,PMN2A_0259,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Prochlorococcus RSP50,BSR22_07500,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G19V@1117,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0745,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Synechococcus CC9311,sync_1636,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Synechococcus PCC 7002,SYNPCC7002_A2505,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G19V@1117,Synechococcus WH7803,SynWH7803_1061,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Synechococcus WH8102,SYNW1026,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Synechococcus elongatus PCC 7942,H6G84_02350,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G19V@1117,Synechococcus elongatus UTEX 2973,M744_05765,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G19V@1117,Synechococcus sp. BL107,BL107_12350,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism
eggnog:1G19V@1117,Thermosynechococcus vestitus BP-1,tll0760,carA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Nucleotide metabolism
eggnog:1G1UJ@1117,Prochlorococcus MIT9301,P9301_13131,merR,aliphatic nitrilase,Stress response and adaptation
eggnog:1G1UJ@1117,Synechococcus PCC 7002,SYNPCC7002_A0664,,Nit6803 family nitrilase,Unknown
eggnog:1G1UJ@1117,Synechococcus WH8102,SYNW1425,merR,aliphatic nitrilase,Stress response and adaptation
eggnog:1G1UJ@1117,Synechococcus elongatus PCC 7942,H6G84_12150,H6G84_RS12150,Nit6803 family nitrilase,Unknown
eggnog:1G1UJ@1117,Synechococcus elongatus UTEX 2973,M744_12540,,Nit6803 family nitrilase,Unknown
eggnog:1G1XM@1117,Synechococcus PCC 7002,SYNPCC7002_G0014,nrtD,ABC transporter ATP-binding protein,Inorganic ion transport
eggnog:1G1XM@1117,Synechococcus PCC 7002,SYNPCC7002_RS08765,tauB,ABC transporter ATP-binding protein,Inorganic ion transport
eggnog:1G1XM@1117,Synechococcus WH8102,SYNW1417,tauB,"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component",Transport
eggnog:1G1XM@1117,Synechococcus WH8102,SYNW2485,cynD,cyanate ABC transporter ATP-binding protein,Central intermediary metabolism
eggnog:1G1XM@1117,Synechococcus elongatus PCC 7942,H6G84_02440,cynD,ABC transporter ATP-binding protein,Inorganic ion transport
eggnog:1G1XM@1117,Synechococcus elongatus PCC 7942,H6G84_08805,H6G84_RS08805,nitrate ABC transporter ATP-binding protein,Inorganic ion transport
eggnog:1G1XM@1117,Synechococcus elongatus UTEX 2973,M744_05855,cynD,ABC transporter ATP-binding protein,Inorganic ion transport
eggnog:1G1XM@1117,Synechococcus elongatus UTEX 2973,M744_10460,nrtD,nitrate ABC transporter ATP-binding protein,Inorganic ion transport
eggnog:1G22F@1117,Prochlorococcus AS9601,A9601_08871,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus MED4,PMM0971,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus MIT0801,EW15_1979,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus MIT9301,P9301_08851,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus MIT9303,P9303_29731,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus MIT9312,PMT9312_0828,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus MIT9313,PMT2228,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus NATL1A,NATL1_19181,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus NATL2A,PMN2A_1047,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Prochlorococcus RSP50,BSR22_07390,urtB,urea ABC transporter permease subunit UrtB,Amino acid metabolism
eggnog:1G22F@1117,Synechococcus CC9311,sync_2871,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Synechococcus PCC 7002,SYNPCC7002_A0397,urtB,urea ABC transporter permease subunit UrtB,Inorganic ion transport
eggnog:1G22F@1117,Synechococcus WH8102,SYNW2441,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Synechococcus sp. BL107,BL107_06994,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation
eggnog:1G22F@1117,Thermosynechococcus vestitus BP-1,tlr1121,urtB,ABC transporter permease subunit,Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus AS9601,A9601_09401,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus MED4,PMM0920,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus MIT0801,EW15_0822,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus MIT9301,P9301_09391,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus MIT9303,P9303_16421,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus MIT9312,PMT9312_0880,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus MIT9313,PMT0601,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus NATL1A,NATL1_07731,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus NATL2A,PMN2A_0141,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Prochlorococcus RSP50,BSR22_07660,glnA,type I glutamate--ammonia ligase,Coenzyme metabolism
eggnog:1G255@1117,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1038,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Synechococcus CC9311,sync_1569,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Synechococcus PCC 7002,SYNPCC7002_A1630,glnA,type I glutamate--ammonia ligase,Coenzyme metabolism
eggnog:1G255@1117,Synechococcus WH7803,SynWH7803_1347,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Synechococcus WH8102,SYNW1073,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Synechococcus elongatus PCC 7942,H6G84_02155,glnA,type I glutamate--ammonia ligase,Coenzyme metabolism
eggnog:1G255@1117,Synechococcus elongatus UTEX 2973,M744_05575,glnA,type I glutamate--ammonia ligase,Coenzyme metabolism
eggnog:1G255@1117,Synechococcus sp. BL107,BL107_13740,glnA,"glutamine synthetase, type I",Amino acid metabolism
eggnog:1G255@1117,Thermosynechococcus vestitus BP-1,tll1588,glnA,type I glutamate--ammonia ligase,Amino acid metabolism
eggnog:1G29H@1117,Prochlorococcus AS9601,A9601_08881,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus MED4,PMM0970,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus MIT0801,EW15_1980,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus MIT9301,P9301_08861,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus MIT9303,P9303_29741,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus MIT9312,PMT9312_0829,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus MIT9313,PMT2229,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus NATL1A,NATL1_19191,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus NATL2A,PMN2A_1048,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Prochlorococcus RSP50,BSR22_07395,urtA,urea ABC transporter substrate-binding protein,Amino acid metabolism
eggnog:1G29H@1117,Synechococcus CC9311,sync_2872,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Synechococcus PCC 7002,SYNPCC7002_A0398,urtA,urea ABC transporter substrate-binding protein,Amino acid metabolism
eggnog:1G29H@1117,Synechococcus WH7803,SynWH7803_0599,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Synechococcus WH8102,SYNW0374,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Synechococcus WH8102,SYNW2442,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Synechococcus sp. BL107,BL107_06989,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
eggnog:1G29H@1117,Thermosynechococcus vestitus BP-1,tlr1120,urtA,urea ABC transporter substrate-binding protein,Amino acid metabolism
eggnog:1G2AC@1117,Prochlorococcus MIT9303,P9303_29251,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation
eggnog:1G2AC@1117,Prochlorococcus MIT9313,PMT2200,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation
eggnog:1G2AC@1117,Synechococcus CC9311,sync_1472,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation
eggnog:1G2AC@1117,Synechococcus PCC 7002,SYNPCC7002_A1475,,sigma 54-interacting transcriptional regulator,Energy production
eggnog:1G2AC@1117,Synechococcus elongatus PCC 7942,H6G84_11285,H6G84_RS11285,sigma 54-interacting transcriptional regulator,Energy production
eggnog:1G2AC@1117,Synechococcus elongatus UTEX 2973,M744_08640,,sigma 54-interacting transcriptional regulator,Energy production
eggnog:1G2AC@1117,Synechococcus sp. BL107,BL107_RS13190,,hypothetical protein,Energy production
eggnog:1G2Q2@1117,Prochlorococcus MIT9303,P9303_29711,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation
eggnog:1G2Q2@1117,Prochlorococcus MIT9313,PMT2226,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation
eggnog:1G2Q2@1117,Synechococcus CC9311,sync_2869,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation
eggnog:1G2Q2@1117,Synechococcus WH8102,SYNW2439,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation
eggnog:1G2Q2@1117,Synechococcus sp. BL107,BL107_07004,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation
eggnog:1G2Q2@1117,Thermosynechococcus vestitus BP-1,tlr1123,urtD,urea ABC transporter ATP-binding protein UrtD,Unknown
eggnog:1G3PC@1117,Synechococcus CC9311,sync_2874,ureF,urease accessory protein UreF,Stress response and adaptation
eggnog:1G3PC@1117,Synechococcus PCC 7002,SYNPCC7002_A2329,ureF,urease accessory protein UreF,Post-translational modification
eggnog:1G3PC@1117,Synechococcus WH8102,SYNW2444,ureF,urease accessory protein UreF,Stress response and adaptation
eggnog:1G3PC@1117,Synechococcus sp. BL107,BL107_06979,ureF,urease accessory protein UreF,Stress response and adaptation
eggnog:1G3PC@1117,Thermosynechococcus vestitus BP-1,tll1365,ureF,urease accessory protein UreF,Post-translational modification
eggnog:1G43Q@1117,Prochlorococcus AS9601,A9601_04591,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus MED4,PMM0409,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus MIT0801,EW15_0474,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus MIT9301,P9301_04281,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus MIT9303,P9303_21181,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus MIT9312,PMT9312_0404,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus MIT9313,PMT0226,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus NATL1A,NATL1_04601,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus NATL2A,PMN2A_1743,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus RSP50,BSR22_05120,metB,trans-sulfuration enzyme family protein,Amino acid metabolism
eggnog:1G43Q@1117,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0405,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Synechococcus CC9311,sync_0623,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Synechococcus WH7803,SynWH7803_0587,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Synechococcus WH8102,SYNW0675,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G43Q@1117,Synechococcus sp. BL107,BL107_15740,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus AS9601,A9601_04571,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus MED4,PMM0407,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus MIT0801,EW15_0472,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus MIT9301,P9301_04261,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus MIT9303,P9303_21201,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus MIT9312,PMT9312_0402,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus MIT9313,PMT0224,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus NATL1A,NATL1_04581,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus NATL2A,PMN2A_1741,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus RSP50,BSR22_05110,cysK,cysteine synthase A,Amino acid metabolism
eggnog:1G493@1117,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0403,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus CC9311,sync_0620,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus CC9311,sync_2577,cysK,O-acetylserine (thiol)-lyase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus WH7803,SynWH7803_0585,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus WH7803,SynWH7803_2234,cysK,O-acetylserine (thiol)-lyase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus WH8102,SYNW0673,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus WH8102,SYNW2222,cysK,O-acetylserine (thiol)-lyase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus elongatus PCC 7942,H6G84_13510,cysK,cysteine synthase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus elongatus UTEX 2973,M744_14065,cysK,cysteine synthase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus sp. BL107,BL107_05004,cysK,O-acetylserine (thiol)-lyase A,Amino acid metabolism
eggnog:1G493@1117,Synechococcus sp. BL107,BL107_15750,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism
eggnog:1G4EH@1117,Prochlorococcus AS9601,A9601_06981,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism
eggnog:1G4EH@1117,Prochlorococcus MED4,PMM0642,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism
