locus_tag,gene_name,experiment_id,treatment_type,timepoint,timepoint_hours,timepoint_order,log2fc,padj,rank,rank_up,rank_down,expression_status,tier
PMM0246,ntcA,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.45172627,0.0,101,,100.0,significant_down,Tier2_N+coculture
PMM0393,pipX,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.03686045,0.0,140,,138.0,significant_down,Tier2_N+coculture
PMM0687,,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.03686045,0.0,141,,139.0,significant_down,Tier2_N+coculture
PMM1462,,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-10.23002044,1.0,248,,,not_significant,Tier1_N-specific
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,5.61782354744158,0.01,3,3.0,,significant_up,Tier1_N-specific
PMM0371,cynB,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-5.233951827,1.22e-28,512,,219.0,significant_down,Tier2_N+coculture
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,4.72778318305637,0.01,2,2.0,,significant_up,Tier1_N-specific
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,4.45086478182776,0.01,7,6.0,,significant_up,Tier2_N+coculture
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,4.36724547784196,0.01,7,3.0,,significant_up,Tier1_N-specific
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,4.279566443092617,2.9550592954568683e-10,70,27.0,,significant_up,Tier2_N+coculture
PMM0687,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,4.0674889457570345,1.6181082973453386e-08,81,32.0,,significant_up,Tier2_N+coculture
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,3.85155137624459,0.01,8,7.0,,significant_up,Tier2_N+coculture
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-3.676757158162384,0.0015808047796623,17,,6.0,significant_down,Tier1_N-specific
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,3.6510575612386,1.93750018709816e-05,5,4.0,,significant_up,Tier2_N+coculture
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,3.58713213602702,2.48270602762731e-07,28,4.0,,significant_up,Tier2_N+coculture
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.56736389795939,1.8408903718366e-06,3,3.0,,significant_up,Tier2_N+coculture
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.48367023468017,2.56189562285053e-05,6,6.0,,significant_up,Tier2_N+coculture
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,3.352117316421244,1.0044699427936916e-05,141,57.0,,significant_up,Tier2_N+coculture
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.29939047495524,2.18119662069137e-08,11,8.0,,significant_up,Tier1_N-specific
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,3.26577631632487,2.58148238326747e-06,6,5.0,,significant_up,Tier2_N+coculture
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.22701247533162,1.43199309413515e-07,9,8.0,,significant_up,Tier2_N+coculture
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.18824863433838,2.63398984896265e-06,13,10.0,,significant_up,Tier2_N+coculture
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,3.17353884379069,7.70264603864766e-05,5,4.0,,significant_up,Tier2_N+coculture
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,days 60+89,,5,-3.1495792881694675,0.0012099104460734,21,,4.0,significant_down,Tier1_N-specific
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.14743343989054,4.65694086846226e-09,11,10.0,,significant_up,Tier1_N-specific
PMM0687,,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,3.13,0.0,70,32.0,,significant_up,Tier2_N+coculture
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,3.12865835158934,0.01,14,7.0,,significant_up,Tier1_N-specific
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,3.11919911702474,8.01644774392301e-06,7,5.0,,significant_up,Tier2_N+coculture
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,3.10788832258843,0.01,42,10.0,,significant_up,Tier1_N-specific
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,3.09633685443019,0.01,26,11.0,,significant_up,Tier2_N+coculture
PMM0965,ureA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,3.08,0.0,77,37.0,,significant_up,Tier1_N-specific
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,3.038840754,1.0,7,,,not_significant,Tier2_N+coculture
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,3.01927772296539,0.01,30,13.0,,significant_up,Tier2_N+coculture
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.99746449788411,2.82727119816684e-05,8,6.0,,significant_up,Tier1_N-specific
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.99547640482585,8.73053906243799e-08,11,10.0,,significant_up,Tier1_N-specific
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.981071492685053,2.4777048908969736e-11,184,70.0,,significant_up,Tier2_N+coculture
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.94700940450033,8.14473662981834e-06,10,8.0,,significant_up,Tier1_N-specific
PMM1463,glnB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,2.85561344589713,0.01,18,11.0,,significant_up,Tier1_N-specific
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.8029047648112,7.75580533266242e-06,17,15.0,,significant_up,Tier1_N-specific
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,2.77320004807168,0.01,67,15.0,,significant_up,Tier2_N+coculture
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-2.767657875976118,0.01683560832865,35,,11.0,significant_down,Tier1_N-specific
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.7204049428304,0.0017487735074487,3,3.0,,significant_up,Tier2_N+coculture
PMM0687,,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.7,0.01,89,47.0,,significant_up,Tier2_N+coculture
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,2.69060631939773,0.01,24,10.0,,significant_up,Tier2_N+coculture
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,2.68333907202567,0.01,10,6.0,,significant_up,Tier2_N+coculture
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 89,2136.0,3,2.67964712778727,2.53352928604394e-06,57,21.0,,significant_up,Tier2_N+coculture
PMM0371,cynB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.65,0.0,112,52.0,,significant_up,Tier2_N+coculture
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.60293324788411,0.0004868286644235,4,4.0,,significant_up,Tier2_N+coculture
PMM0965,ureA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.6,0.0,99,51.0,,significant_up,Tier1_N-specific
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-2.578430371607697,0.0007778413678228,40,,16.0,significant_down,Tier1_N-specific
PMM1512,glsF,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.529728484721897,6.0856483158426845e-09,280,109.0,,significant_up,Tier1_N-specific
PMM0687,,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,2.510918035629388,0.0164184145191602,22,20.0,,significant_up,Tier2_N+coculture
PMM0371,cynB,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,2.46640882596646,0.0126337089028085,24,22.0,,significant_up,Tier2_N+coculture
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,2.42644230524699,1.26748453656753e-05,27,23.0,,significant_up,Tier1_N-specific
PMM0246,ntcA,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,2.400821454544718,0.0358407295972419,27,25.0,,significant_up,Tier2_N+coculture
PMM0371,cynB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,2.37248468438192,0.01,55,18.0,,significant_up,Tier2_N+coculture
PMM0964,ureB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,2.37,0.01,132,69.0,,significant_up,Tier1_N-specific
PMM1463,glnB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,2.3455961849395,0.01,59,20.0,,significant_up,Tier1_N-specific
PMM0687,,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,-2.33,0.0,66,,14.0,significant_down,Tier2_N+coculture
PMM0964,ureB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.33,0.0,146,70.0,,significant_up,Tier1_N-specific
PMM0371,cynB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,2.28110125476454,0.01,35,17.0,,significant_up,Tier2_N+coculture
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.264438881479556,0.0002324155619118,342,132.0,,significant_up,Tier1_N-specific
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 31,744.0,2,-2.257372852785997,0.0567320752377784,62,,,not_significant,Tier1_N-specific
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.23080062866211,8.8325962497014e-05,24,15.0,,significant_up,Tier2_N+coculture
PMM0372,cynD,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,2.17991366596472,0.01,78,25.0,,significant_up,Tier2_N+coculture
PMM0246,ntcA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.17,0.0,172,81.0,,significant_up,Tier2_N+coculture
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,0h,0.0,1,-2.166458145,1.0,21,,,not_significant,Tier2_N+coculture
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.13397534688314,0.0023777617546765,8,8.0,,significant_up,Tier1_N-specific
PMM1463,glnB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,2.109289489,1.0,14,,,not_significant,Tier1_N-specific
PMM0371,cynB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,2.10887801596109,0.01,130,31.0,,significant_up,Tier2_N+coculture
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.10725593566895,8.01644774392301e-06,30,18.0,,significant_up,Tier1_N-specific
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.1014755889527947,1.3632077421037737e-05,381,148.0,,significant_up,Tier1_N-specific
PMM0973,urtD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.09128061930339,8.01644774392301e-06,35,19.0,,significant_up,Tier2_N+coculture
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.09054247538249,0.0005335963518002,41,34.0,,significant_up,Tier1_N-specific
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-2.0842747712258936,0.0243547283264829,68,,31.0,significant_down,Tier2_N+coculture
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,2.06486018498738,7.3072354827046e-05,45,40.0,,significant_up,Tier1_N-specific
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,days 60+89,,5,-2.0562430846825928,0.0020916650355458,57,,27.0,significant_down,Tier1_N-specific
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,2.04997984568278,0.0001194408822579,61,47.0,,significant_up,Tier1_N-specific
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,2.03917789459228,0.0005544788392701,62,48.0,,significant_up,Tier1_N-specific
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 31,744.0,2,-2.033906878694434,0.0069384622838446,80,,32.0,significant_down,Tier1_N-specific
PMM0371,cynB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,1.92816297994649,0.01,81,19.0,,significant_up,Tier2_N+coculture
PMM0965,ureA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,1.90550104081613,0.01,57,21.0,,significant_up,Tier1_N-specific
